id;x_test;y_test;y_pred;explanations;meaningfulness;acceptability;faithfulness;explanation_accuracy_scores;explanation_accuracy_decisions;okd;similarity_threshold;adherence_to_knowledge_limits
10;As a user I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a user i'd like to have the option to write into _kafka_ sink so that i can publish mass data into kafka broker is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like upgrade kafka leverage latest features order test performance characteristics and similar to the text Developer id like benchmark rabbit performance use results reference setup cluster and similar to the text User id like option setup batching ingest data batches opposed (and these texts are all user stories with a worth of 8 story points).;0.02;8.55;1.0;8.33;1;1;1;1
11;Update to spring-data-hadoop 1.0.1.RELEASE This might mean we should adjust our hadoopDistro options to the ones supported in the new release - hadoop12 (default) cdh4 hdp13 phd1 and hadoop21;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Update to spring-data-hadoop 101release this might mean we should adjust our hadoopdistro options to the ones supported in the new release - hadoop12 (default) cdh4 hdp13 phd1 and hadoop21 was most similar to the text Fix sonar build weird annotation dependency problem worked around compile sonar complains one solution add jackson 2 sonar manage and similar to the text Need set small commit level acceptance tests default commit level jobs 1000 vs original 100 tests sporadically fail need set tests small value and similar to the text Add docs job item processor brief introduction topic linking relevant spring batch documentation (and these texts are not user stories).;0.02;8.28;1.0;8.33;1;1;1;1
12;Fix package tangle between org.springframework.xd.dirt.plugins.job and org.springframework.xd.dirt.job;0;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Fix package tangle between orgspringframeworkxddirtpluginsjob and orgspringframeworkxddirtjob is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Developer id like upgrade reactor 20 release synchronize stable dependencies and similar to the text Developer want abstraction support multiple binder types future and similar to the text User id like parameterize options generate code fly needed (and these texts are all user stories with a worth of 5 story points).;0.02;8.16;1.0;8.33;1;0;1;0
13;Allow sending to multiple named channels at once Currently it’s possible to do this via {code} source | router --expression=''queue:queue1queue:queue2'' {code} but this involves an additional hop to the message bus for the pipe between the source and router. It would be better if this was supported directly with the existing named channel syntax to remove this pipe ie {code} source > queue:queue1queue:queue2 {code} This would be useful as a possible solution in the scenario described in XD-3613 as an alternative to using topics on the Redis message bus which don’t support having multiple instances of the same consumer.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Allow sending to multiple named channels at once currently it’s possible to do this via {code} source | router --expression=''queue:queue1queue:queue2'' {code} but this involves an additional hop to the message bus for the pipe between the source and router it would be better if this was supported directly with the existing named channel syntax to remove this pipe ie {code} source > queue:queue1queue:queue2 {code} this would be useful as a possible solution in the scenario described in xd-3613 as an alternative to using topics on the redis message bus which don’t support having multiple instances of the same consumer was most similar to the text Investigate fall values running yarn support using configuration modules atm current code was committed time improvements handling module configuration switch include bean definitions remove configuration classes see add support configuration another short term hack put prefix value used and similar to the text Add named channel api need abstraction place retrieve messages named channel right implementation agnostic way quite useful integration tests streams eg focussed tests resorting nonessential sinks sources etc - eg code router code and similar to the text Elk - log like experiment elk stack combination extract end-to-end real-time insights structured unstructured data source possibly provide integration endpoints components features search analyze real-time scrub parse enrich data visualization website (and these texts are not user stories).;0.02;2.0;1.0;1.67;0;1;1;1
14;As a developer I’d like override the partition function within my source or processor module so I can send the data to a specific partition.;4;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i’d like override the partition function within my source or processor module so i can send the data to a specific partition is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like option disable db requirement setup use dirt stream processing requirement and similar to the text Developer id like partitions scale containers bring running reestablish dynamic partitions and similar to the text User id like use java receptor client interact using java receptor rest apis (and these texts are all user stories with a worth of 8 story points).;0.12;8.48;1.0;8.33;1;1;1;1
15;As a user I'd like to clean-up stale queues/topics associated with the stream so when the stream gets destroyed I can clean-up resources.;3;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a user i'd like to clean-up stale queues/topics associated with the stream so when the stream gets destroyed i can clean-up resources was most similar to the text Remove jar build directory - need remove and similar to the text Jobs list rest endpoint include currently jobs definition list rest endpoint include given job and similar to the text Update build script use correct version based (and these texts are not user stories).;0.02;8.62;1.0;8.33;1;1;1;1
16;Ensure that each controller's list() returns PagedResources;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Ensure that each controller's list() returns pagedresources was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.03;7.13;0.0;1.67;0;1;1;1
17;Gemfire cache closed when a gemfire module is undeployed Need to investigate why this is happening normally setting {code:xml} <gfe:client-cache close=false/> {code} prevents the (singleton) cache from closing when the application context is closed.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Gemfire cache closed when a gemfire module is undeployed need to investigate why this is happening normally setting {code:xml} <gfe:client-cache close=false/> {code} prevents the (singleton) cache from closing when the application context is closed was most similar to the text Update sources section use shell commands instead curl see and similar to the text Create reusable responsive ui layout render tabular view create reusable responsive ui layout render returned rest endpoint part try bootstrap 300 use responsive styles offered and similar to the text Add job integration tests using implementations uses problem was discovered manual integration test was executed minimum run implementations (and these texts are not user stories).;0.04;2.0;1.0;1.67;0;1;1;1
18;Update spring-xd-extension-reactor dependency Currently the reactorEnv bean is defined in module-common context and the spring-xd-dirt has the runtime dependency over spring-xd-extension-reactor project. This enables boot's ReactorAutoConfiguration to initialize the reactor environment we have the reactor setup configured for both admin and container server applications. Since reactor environment is not being used by container and only used by the reactor-syslog module we can move the reactorEnv bean definition in reactor-syslog module. There is one caveat in this approach as the reactor environment gets setup everytime a new reactor-syslog module is deployed.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Update spring-xd-extension-reactor dependency currently the reactorenv bean is defined in module-common context and the spring-xd-dirt has the runtime dependency over spring-xd-extension-reactor project this enables boot's reactorautoconfiguration to initialize the reactor environment we have the reactor setup configured for both admin and container server applications since reactor environment is not being used by container and only used by the reactor-syslog module we can move the reactorenv bean definition in reactor-syslog module there is one caveat in this approach as the reactor environment gets setup everytime a new reactor-syslog module is deployed was most similar to the text Remove currently gets added dependency need remove 10 fir pig jobs version remain though and similar to the text Enable grouping modules deployment example code b c code b c modules deployed together composite module 2 options maybe handle one defining type simply bridges channels bs output cs input example second option deploy together node modules using and similar to the text Add required jars needed use scheme talk hdfs http (and these texts are not user stories).;0.01;2.03;1.0;1.67;0;1;1;1
19;As a s-c-s developer I'd like to move {{spring-cloud-stream-modules}} from s-c-s to s-c repo so I can cleanup s-c-s project and at the same time make these modules visible outside of s-c-s.;3;2;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a s-c-s developer i'd like to move {{spring-cloud-stream-modules}} from s-c-s to s-c repo so i can cleanup s-c-s project and at the same time make these modules visible outside of s-c-s is a user story, and is worth 2 story points. This was predicted because it is most similar to the text Developer id like port module scs use sink module build streaming pipeline and similar to the text Spring user need listen jms topic ingest messages process messages currently module allows queues and similar to the text User id like ability visually explore cluster view aware components deployed connected within topology (and these texts are all user stories with a worth of 2 story points).;0.04;5.83;1.0;8.33;1;1;1;1
20;As a QA I'd like to include acceptance test coverage for _aggregate-counter_ sink module so that I can validate the functionality as part of every CI build.;3;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a qa i'd like to include acceptance test coverage for _aggregate-counter_ sink module so that i can validate the functionality as part of every ci build is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like study state management requirements brainstorm identify design add stateful stream processing support and similar to the text User need ability create docker images ci build build need docker image test deploy image environments and similar to the text Azure user id like data azure event hubs leverage service process analyze large volumes data (and these texts are all user stories with a worth of 8 story points).;0.01;8.62;1.0;8.33;1;1;1;1
21;Add tab completion for named channels (i.e. queue:xyz >) Tab completion doesn't currently list/support queue as a source. For example if typing the following stream: stream create b --definition queue:bar > transform --expression=payload+'-bar' | log --deploy Tab completion doesn't recognize or suggest queue or anything after it until after the first bar |. The same applies to named channels queue as a sink.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Add tab completion for named channels (ie queue:xyz >) tab completion doesn't currently list/support queue as a source for example if typing the following stream: stream create b --definition queue:bar > transform --expression=payload+'-bar' | log --deploy tab completion doesn't recognize or suggest queue or anything after it until after the first bar | the same applies to named channels queue as a sink was most similar to the text Sample app process analyze network packets create example application demonstrates processing stream network packets potential scenario detection ongoing cyber attacks scanning tls packets abuse ssl vulnerability heart bleed library help and similar to the text Tap connection listener close tap path children cache disconnect currently implements closes taps child event child event recreates tap previously still hanging better close cache disconnect and similar to the text Unable destroy stream using http source destroying stream contains http source exception thrown even though stream destroyed resources ie port still use currently setup set true running system http needs time release port recommendation set false instead true (and these texts are not user stories).;0.06;2.04;1.0;1.67;0;1;1;1
22;Add http port command line option to AdminMain Currently StreamServer has setPort but no way for end user to set it.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add http port command line option to adminmain currently streamserver has setport but no way for end user to set it is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like define security definitions configure entity rest api specific access policies and similar to the text Developer id like migrate current master branch ci builds instances manage reliably and similar to the text Developer id like fix offset management kafka source module efficiently perform fetch operation given offsets (and these texts are all user stories with a worth of 8 story points).;0.02;2.03;1.0;1.67;0;0;1;0
23;Add @XmlRootElement to all REST resources Some REST resources lack an @XmlRootElement annotation. This causes a JAXB marshalling error when trying to access the API with an Accept header of xml (which is the default in most browsers) This is a preliminary to XD-1800 (which is much more involved) only to fix ugly exception;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Add @xmlrootelement to all rest resources some rest resources lack an @xmlrootelement annotation this causes a jaxb marshalling error when trying to access the api with an accept header of xml (which is the default in most browsers) this is a preliminary to xd-1800 (which is much more involved) only to fix ugly exception was most similar to the text Shell distribution zip missing libraries distribution zip include directory libraries get following exception starting shell exception thread main and similar to the text Create repository narrative need persistent way register job definitions beyond map registry implementation spring batch acceptance able register find job definitions registry registry backed persistent and similar to the text Fix tangle container event references referenced stopped (and these texts are not user stories).;0.04;2.02;1.0;1.67;0;1;1;1
24;Spike to model the cluster nodes. Each node in the cluster advertises itself and the admin node listens to these ads and creates groups out of them. The deployment of jobs and stream processing can then be deployed onto a specific group and specific nodes within the group. The project https://github.com/spring-projects/spring-data-grid is the start of this model.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Spike to model the cluster nodes each node in the cluster advertises itself and the admin node listens to these ads and creates groups out of them the deployment of jobs and stream processing can then be deployed onto a specific group and specific nodes within the group the project https://githubcom/spring-projects/spring-data-grid is the start of this model was most similar to the text Retrieve information rich gauge part see get rid so-called service layer analytics project much right logic better live handler imo rest controllers depend cases and similar to the text Fix tangle container event references referenced stopped and similar to the text Kafka tests assume offset 0 testing queue partitions content read assumed start offset 0 incorrect topics may exist already especially ci environment (and these texts are not user stories).;0.02;2.0;1.0;1.67;0;1;1;1
25;As a Spring XD developer I'd like to port {{http-client}} module from XD to s-c-s repo so I can use it as {{processor}} module to build streaming pipeline.;2;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a spring xd developer i'd like to port {{http-client}} module from xd to s-c-s repo so i can use it as {{processor}} module to build streaming pipeline was most similar to the text Parameterize source add support tcp source currently hard-coded use udp port need parameterize port provide option use tcp and similar to the text Add single threaded executor service eliminate any race conditions deployments containers cluster and similar to the text Fix startup messages started container documentation (and these texts are not user stories).;0.04;3.01;1.0;1.67;0;1;1;1
26;Admin leader election issue when using different management port When the admin is started with the different management port (default is the same as that of admin http port) then the leadership is requested when the management context is setup. The leadership election should happen only using the Admin server application context. With this the following exception is thrown when deployment requests are handled: 2015-03-24 21:48:26340 1.2.0.SNAP ERROR DeploymentSupervisor-0 queue.DistributedQueue - Exception processing queue item: queue-0000000004 org.springframework.xd.dirt.server.admin.deployment.DeploymentException: testStream org.springframework.xd.dirt.stream.AbstractInstancePersistingDeployer.undeployResource(AbstractInstancePersistingDeployer.java:164) org.springframework.xd.dirt.stream.AbstractInstancePersistingDeployer.undeploy(AbstractInstancePersistingDeployer.java:83) org.springframework.xd.dirt.stream.AbstractInstancePersistingDeployer.undeployAll(AbstractInstancePersistingDeployer.java:109) org.springframework.xd.dirt.stream.AbstractInstancePersistingDeployer.deleteAll(AbstractInstancePersistingDeployer.java:117) org.springframework.xd.dirt.server.admin.deployment.zk.DeploymentMessageConsumer.processDeploymentMessage(DeploymentMessageConsumer.java:115) org.springframework.xd.dirt.server.admin.deployment.zk.DeploymentMessageConsumer.consumeMessage(DeploymentMessageConsumer.java:73) org.springframework.xd.dirt.server.admin.deployment.zk.DeploymentMessageConsumer.consumeMessage(DeploymentMessageConsumer.java:43) org.apache.curator.framework.recipes.queue.DistributedQueue.processMessageBytes(DistributedQueue.java:678) org.apache.curator.framework.recipes.queue.DistributedQueue.processNormally(DistributedQueue.java:712) org.apache.curator.framework.recipes.queue.DistributedQueue.access$300(DistributedQueue.java:65) org.apache.curator.framework.recipes.queue.DistributedQueue$5.run(DistributedQueue.java:629) java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471) java.util.concurrent.FutureTask.run(FutureTask.java:262) java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.access$201(ScheduledThreadPoolExecutor.java:178) java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:292) java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) java.lang.Thread.run(Thread.java:745) Caused by: java.lang.IllegalArgumentException: Module deployment request path cache shouldn't be null. org.springframework.util.Assert.notNull(Assert.java:112) org.springframework.xd.dirt.server.admin.deployment.zk.ZKDeploymentHandler.undeploy(ZKDeploymentHandler.java:81) org.springframework.xd.dirt.stream.AbstractInstancePersistingDeployer.undeployResource(AbstractInstancePersistingDeployer.java:161) ... 17 more;0;1;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Admin leader election issue when using different management port when the admin is started with the different management port (default is the same as that of admin http port) then the leadership is requested when the management context is setup the leadership election should happen only using the admin server application context with this the following exception is thrown when deployment requests are handled: 2015-03-24 21:48:26340 120snap error deploymentsupervisor-0 queuedistributedqueue - exception processing queue item: queue-0000000004 orgspringframeworkxddirtserveradmindeploymentdeploymentexception: teststream orgspringframeworkxddirtstreamabstractinstancepersistingdeployerundeployresource(abstractinstancepersistingdeployerjava:164) orgspringframeworkxddirtstreamabstractinstancepersistingdeployerundeploy(abstractinstancepersistingdeployerjava:83) orgspringframeworkxddirtstreamabstractinstancepersistingdeployerundeployall(abstractinstancepersistingdeployerjava:109) orgspringframeworkxddirtstreamabstractinstancepersistingdeployerdeleteall(abstractinstancepersistingdeployerjava:117) orgspringframeworkxddirtserveradmindeploymentzkdeploymentmessageconsumerprocessdeploymentmessage(deploymentmessageconsumerjava:115) orgspringframeworkxddirtserveradmindeploymentzkdeploymentmessageconsumerconsumemessage(deploymentmessageconsumerjava:73) orgspringframeworkxddirtserveradmindeploymentzkdeploymentmessageconsumerconsumemessage(deploymentmessageconsumerjava:43) orgapachecuratorframeworkrecipesqueuedistributedqueueprocessmessagebytes(distributedqueuejava:678) orgapachecuratorframeworkrecipesqueuedistributedqueueprocessnormally(distributedqueuejava:712) orgapachecuratorframeworkrecipesqueuedistributedqueueaccess$300(distributedqueuejava:65) orgapachecuratorframeworkrecipesqueuedistributedqueue$5run(distributedqueuejava:629) javautilconcurrentexecutors$runnableadaptercall(executorsjava:471) javautilconcurrentfuturetaskrun(futuretaskjava:262) javautilconcurrentscheduledthreadpoolexecutor$scheduledfuturetaskaccess$201(scheduledthreadpoolexecutorjava:178) javautilconcurrentscheduledthreadpoolexecutor$scheduledfuturetaskrun(scheduledthreadpoolexecutorjava:292) javautilconcurrentthreadpoolexecutorrunworker(threadpoolexecutorjava:1145) javautilconcurrentthreadpoolexecutor$workerrun(threadpoolexecutorjava:615) javalangthreadrun(threadjava:745) caused by: javalangillegalargumentexception: module deployment request path cache shouldn't be null orgspringframeworkutilassertnotnull(assertjava:112) orgspringframeworkxddirtserveradmindeploymentzkzkdeploymenthandlerundeploy(zkdeploymenthandlerjava:81) orgspringframeworkxddirtstreamabstractinstancepersistingdeployerundeployresource(abstractinstancepersistingdeployerjava:161)  17 more and the most similar text User id like shell automatically configure environment setup really work shell anywhere cluster best was able build file deploy already knows admin code cat admin server fs code run starting code file admin server successfully targeted fs script required seconds execute code does not exceed the minimum threshold of 75%.;0.09;2.03;1.0;1.67;0;0;0;0
27;As a Spring XD on CF user I'd like to use {{cloudController}} implementation of Admin SPI every time I deploy Spring XD modules so I can leverage the SPI to query for module status and health metrics. *Possible APIs:* {code} ModuleStatus getStatus(ModuleDescriptor descriptor) Collection<ModuleDescriptor> listModules() Map<ModuleDescriptor.Key ModuleStatus> {code};5;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a spring xd on cf user i'd like to use {{cloudcontroller}} implementation of admin spi every time i deploy spring xd modules so i can leverage the spi to query for module status and health metrics *possible apis:* {code} modulestatus getstatus(moduledescriptor descriptor) collection<moduledescriptor> listmodules() map<moduledescriptorkey modulestatus> {code} was most similar to the text Fix batch job throws exception code resolve resource location pattern class path resource resolved url does exist code solved using file prefix maybe update docs and similar to the text Enable grouping modules deployment example code b c code b c modules deployed together composite module 2 options maybe handle one defining type simply bridges channels bs output cs input example second option deploy together node modules using and similar to the text Ui user able view graphical representation job may broken multiple issues provide generic approach render batch jobs graphically second especially components - provide renderings batch components - see (and these texts are not user stories).;0.01;2.0;1.0;1.67;0;1;1;1
