issuekey;doc_clean;storypoint_label
XD-2128;As a user I'd like to have the option of _WebSocket_ source module so that I can create a interactive communication channel between user's browser session and the runtime to ingest browser based events and activities.  *Reference:* [Spring Integration WebSocket Support|https://github.com/spring-projects/spring-integration/tree/master/spring-integration-websocket/src];3
XD-2129;As a user I'd like to have an option of _AWS_ source module so that I can ingest data from Amazon S3 or use the Simple Email Service (SES).  *Reference:* [Spring Integration AWS Extension|https://github.com/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws];4
XD-2130;As a user I'd like to have the option of _Cassandra_ sink so I can leverage the NoSQL database to write high volumes of variable data segments in high velocity.;3
XD-2131;As a user I'd like to have the option of _AWS_ sink so that I can write data into S3 directly.   *Reference:* [Spring Integration AWS Extension|https://github.com/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws];4
XD-2132;As a user I'd like to have the option of _HAWQ_ sink so that I can write data directly into HAWQ via PXF extensions through Avro/Parquet format.;3
XD-2133;As a user I'd like to have the option of _SOLR_ sink so that I can perform full-text indexing and search through SOLR backend server.;4
XD-2135;"As a user I'd like to have the option to explicitly define/configure ""error channel"" so that I can stage and route the errors/exceptions through the dedicated channel and continue ingestion.  *Scenario:* * 'http' source ingest  * failure at either source processor or sink module * regardless of whether it is a custom module or not traverse through the exception to propagate the actual _Caused by:..._ stage the error as payload and route it to the error channel  *Example Configuration:* * error channel definition similar to ""topic.errors.stream.module"" * configure custom exception similar to ""catch=**Exception"" * exception hierarchy ** GlobalException ** DefaultException ** ModuleSpecificException";5
XD-2136;"As a user I should not be allowed to create a custom module with a _reserved_ keywords so that I it will avoid confusions from seeing duplicate strings in deployment manifest.  *Example:* We would like to avoid a _custom_ module name of *producer* to eliminate the confusion below: {code}  xd:>stream deploy --name test1 --properties ""module.producer.producer.deliveryMode= PERSISTENTmodule.log.criteria=groups.contains('group1')""  {code}  [List of available reserved keywords|https://github.com/spring-projects/spring-xd/wiki/Deployment#deployment-properties]";4
XD-2137;"As a user I'd like to retain the data partitioning state so that when I restart the containers I continue to write based on the original partitioning strategy.   Currently the state is not preserved hence on restarts the definition of partitioning strategy is lost due to different _hashCode()_.  *Design consideration:* Mine through the container info to derive the ""partition index"" instead of relying on _hashCode()_.";4
XD-2138;As a user I'd like to have the data partition strategy state preserved so that when I add/delete modules they are able to dynamically adapt to the strategy.  This is already included as part of the GA release. This story is to account for the testing effort.;1
XD-2143;As a user I'd like to have the option of _Basic Auth_ so that I'm challenged to provide _user name_ and _password_ when making a request.    Technical Implementation:    This functionality is provided in Spring Boot 1.1.x it should be a matter of adding the spring boot security starter dependency to the spring-xd-dirt project.      It will be controlled using the spring boot property server.basic.enabled = true/false.  Our default in application.yml for this property should be false.;1
XD-2144;As a user I'd like to have the option to provide single-user security configurations so that I can override them as needed.    *Reference:*  [Spring Boot - Security|http://docs.spring.io/spring-boot/docs/1.1.x-SNAPSHOT/reference/html/boot-features-security.html]    *Scope:*  Configurations can be provided through _servers.yml_ file.;1
XD-2145;As a user I want to be able to provide security credentials to the XD Shell so that I can interact with an xd admin server that is secured via basic auth    Technical implementation:    Add ---password and --username to the admin config command.;4
XD-2146;As a user I'd like to have latest Spring Boot snapshot pulled as a dependency so that I can inherit and implement the OOTB security features.;1
XD-2147;As a user I'd like to have latest Spring Boot RELEASE pulled as a dependency so that I can inherit and implement the OOTB security features.;1
XD-2154;As a user I'd like to have a REST API to point and push an archive that includes custom module definitions and configurations so that I don't have to manually move and set it up.    *Scope of this spike:*  * Assess customer requirement brainstorm and document options  * Socialize with the team to collect feedback  * Identify phases  * Create new stories;5
XD-2158;As a user I need a 'sandbox' Docker Image so that I can get started to experiment XD deployment with the following setup:    * Ubuntu OS  * Full XD Jar  * Java 7.x  * Redis  * RabbitMQ;4
XD-2159;"As a user I need a ""production-ready' Docker Image so that I can use that as a baseline to deploy XD with the following setup.  * Ubuntu OS * Full XD Jar * Java 7.x";5
XD-2163;As a user I need the ability to configure Docker XD Containers so that I can link to external services such as _Rabbit Redis Zookeeper Hadoop Mongo etc_.  Includes pointers to: * Linking/binding attributes * Environment variables;5
XD-2164;As a user I want to configure Docker XD Containers using Service Discovery so that I can have tools to manage how processes and services in a cluster can find and talk to one another.;5
XD-2165;As a user I need to have the ability to create docker images via CI build so that I can build all the components/configurations I need into a Docker image test it and deploy the image to various environments.;5
XD-2166;As a user I need a document covering our recommendations for deploying a XD cluster using Mesos with the Marathon Framework.;5
XD-2169;As a user I'd like to evaluate Spring Boot dependency upgrades so that I can make sure there aren't any side effects or impacts to existing functionalities.;3
XD-2178;As a user I'd like to have the option to supply data partitioning strategy so that I can parallelize ingest of data from RDBMS to HDFS.;5
XD-2179;As a user I'd like to have the option of _HDFS_ source module so that I can ingest data directly from HDFS file system.;3
XD-2180;"As a user I'd like to override the default ""commit-interval"" so that I can configure commit interval depending on data volume.    *Note:*  This would apply for all OOTB jobs that has partition support. The property could be part of _servers.yml_ file.";3
XD-2181;As a user I want to know my configuration options are for enabling SSL/HTTPS and Basic authentication for administration endpoints so that I can secure my application.;1
XD-2182;As a user I want to know how to enable and configure LDAP as an authentication provider for the administration server so that I can set up my security configuration accordingly.;1
XD-2205;As a user I'd like to have a _Python_ processor so that I can efficiently perform data computations and statistical analysis.     Investigate the right approach (native or via stdin/stdout) that fits Spring XD model.    [Integrate Java and Python|https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages#Java];5
XD-2206;As a user I'd like to have a _R_ processor so I can efficiently perform data computations and statistical analysis in the context of streaming pipeline.   Investigate the right approach that fits Spring XD model.  *R Java Libraries* [rJava|http://rforge.net/rJava/] [Renjin|http://www.renjin.org/];5
XD-2207;As a user I would like to have an option to write data into _Hive_ sink so that I can query and manage large datasets in distributed storage.;4
XD-2216;As a user I'd like to have Spring 'Core' upgraded to 4.1.1 (_milestone_ ) so that I can benefit from performance improvements associated with 'compiled' SpEL and other enhancements.;3
XD-2218;As a user I'd like to define security definitions so that I can configure entity (REST API) specific group/role access policies.;5
XD-2219;As a user I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via DSL Shell.  *Examples:* * Who can create streams? * Who can destroy the streams? * Who can view the streams? ??(defaults to all)??;5
XD-2220;As a user I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via Admin UI.    *Examples:*  * Who can create streams?  * Who can destroy the streams?  * Who can view the streams? ??(defaults to all)??;5
XD-2226;As a user I'd like to have the flexibility to change the namespace so that I can isolate ZK _metadata_ based on each _tenant_ profile.;4
XD-2228;As a user I'd like to type the _username_ and _password_ to gain access to Admin server so that I don't have to add it in some file hence I don't have to worry about having the password getting logged somewhere.;4
XD-2230;As a user I'd like to leverage _propertieis-location_ parameter while using *Filter* or *Transform* modules so that I can load the user-defined properties included in the external properties file.     Attempting to include the _propertieis-location_ attribute errors out - refer to the attachment.    It could also be beneficial to load user-defined properties through stream definition similar to deployment properties.    Example:  --script=myscript.groovy --variables=foo=bargoo=gaz;4
XD-2231;As a user I'd like to have the flexibility to configure DB creds so that I can use a DB of choice for batch job repository (metadata persistence).     The scope of this task is to have the configuration specifics documented in the wiki.;2
XD-2246;As a user I'd like to have the flexibility to specify config options for IP and Hostname so that I can list the correct configuration for XD Admin and XD Container servers in the Admin-UI and Shell.;1
XD-2261;As a user I'd like to have the option to configure permissions so that I'll have the flexibility to bind permissions (REST endpoint) to a specific role.   Default Roles: * Admin (CRUD) * Viewer (R);2
XD-2268;As a developer I'd like to have a maintenance branch so that I can commit MINOR release _(ex: 1.0.2)_ code changes instead of committing to MASTER.;4
XD-2269;As a follow-up action from module registry refactoring we would have to clean-up deprecated functions _(ex: download of module definitions)_ within our codebase.     It may also be necessary to clean-up Shell and Admin-UI modules.;3
XD-2288;As a user I'd like to have the ability to access the random port (generated by tomcat) of the admin server (via _xd-shell_) so that I can point to the server and continue my interactions.   *Spike Details:* * Research whether connecting _xd-shell_ directly to ZK is a good approach or have a LB in-charge for the interaction. * How about something other than a pointer to a ZK directory in the shell for folks to experiment a bit before getting a LB involved?  *Note:* On some hadoop/hdfs setups access to zk is mandatory from hdfs client libs. There are some HA and federation setups which would anyway require xd shell to get access to zk if fs shell commands are used.;5
XD-2293;As a follow-up to Kafka message bus support we would like to rerun the failing tests after upgrading to new [consumer|https://cwiki.apache.org/confluence/display/KAFKA/Kafka+0.9+Consumer+Rewrite+Design] rewrite.   [Response from Kafka support|http://mail-archives.apache.org/mod_mbox/kafka-users/201410.mbox/%3CCAHwHRrWZmLr94eHX1z5i36BYz%2B%3DCisx7GcbW1_Nn7ooNJcShMw%40mail.gmail.com%3E].;3
XD-2295;As a user I'd like to stream ingest audio and video data so that I can apply predictive analytics algorithms for facial detection.  *Spike scope:* * Research the feasibility of implementing [Motion-JPEG|http://en.wikipedia.org/wiki/Motion_JPEG] * Design specs on Motion-JPEG format  *Note:* [opencv|http://docs.opencv.org/trunk/doc/py_tutorials/py_objdetect/py_face_detection/py_face_detection.html] although having OOTB support it is not platform compatible.;5
XD-2296;As a user I'd like to have a config parameter preferably in _servers.yml_ file so that I can enable/disable message rates in the cluster view.;2
XD-2298;As a user I'd like to mass ingest data from databases (and others) into HDFS/HAWQ/GPDB so that I don't have to write custom code and as well as be able to ingest in an efficient way.;4
XD-2304;As a user I'd like to use Kafka source through simple consumer API (as opposed to high-level) so that I can gain full control to offsets and partition assignment deterministically.    *Spike scope*:  - Study simple consumer API functionality  - Document findings approach and next steps;5
XD-2306;As a user I'd like to push the custom module (built as uber-jar) via a REST API so that I can install the custom module in cluster.;5
XD-2308;As a user I'd like to have a sample app (GitHub project) so that I can use it as a reference while provisioning Spring XD cluster with Kafka.    Consider:  * Kafka as message bus  * Kafka as source;5
XD-2311;As a user I'd like to have a _generator_ source module so that I can create a number of messages of a specified size (similar to Rabbit's PerfTest utility).  Example: generator --numMsgs 10000 --msgSize 1024 --numThreads 1;5
XD-2312;As a user I'd like to have a _perf-meter_ sink that will collect and push metrics to the standard container log file.    Example: perf-meter --numMsgs 1000  Will write to the container log a timestamp message count and message rate every 1000 messages.  The message rate is the value since the last log event.  Default values are those specified above.;5
XD-2313;As a user I'd like to create a stream such as _generator | perf-meter_ so that I can ingest 1M messages of 1000 bytes and one thread using XD's 'singlenode' container and measure performance characteristics.;5
XD-2333;As a PM I'd like to have test coverage for both Kafka source and sink modules so that we can assert its functionality as part of the CI builds.;5
XD-2347;As a user I'd like to refer to documentation in wiki so that I can setup and configure Kafka as a message bus as recommended.;2
XD-2348;As a user I'd like to refer to documentation in wiki so that I can setup and configure Spark as a Batch job as recommended.;1
XD-2349;As a user I'd like to refer to documentation in wiki so that I can setup and configure Kafka as a source or a sink as recommended.;1
XD-2358;As a user I want to be able to control the starting offset of the Kafka source when a stream is deployed so that I can replay a topic if necessary.    Note:  - starting offset is only considered when the stream is deployed  - progress made by modules must survive their crash for a running stream  - undeploying and redeploying a stream with a specific start offset will cause the stream to read again from the start     TBD: what happens when streams are undeployed/redeployed - where do they resume from?;5
XD-2359;As a user I want to be able to control the partition allocation for the Kafka source modules when a stream is deployed so that I can colocate with other data sources.;5
XD-2360;As a user I want Spring XD to pre-allocate a set of partitions between the Kafka source modules when a stream is deployed so that deployment is simpler and rebalancing doesn’t take place.;5
XD-2361;As a user I want Spring XD’s message bus to be able to pre-allocate partitions between nodes when a stream is deployed so that rebalancing doesn’t happen when a container crashes and/or it’s redeployed.;5
XD-2368;As a continuation we would like to further investigate Spark develop POC and identify the best appropriate design and implementation for XD.;5
XD-2375;As a user I'd like to have a _reactor-stream_ processor module so that I can ingest data using XD source modules and process them as time-window operations.     *Example 1:*  http | reactor-stream --timeWindow=10s --field=payload.sensorData --expressions=minavg    This would give you 10 second time window of the min and avg values.    *Example 2:*  Reactor as a module    *Example 3:*  Integration with Spark streaming and reactor;5
XD-2376;"As a user I'd like to have _microbatching_ capability so that I can ingest based on batch intervals for enhanced performance throughput.     *Example:*  ""http --batchInterval=10 | log""";4
XD-2377;"As a user I'd like to have API and Documentation links in the [""About""|https://github.com/spring-projects/spring-xd/blob/master/spring-xd-ui/app/scripts/shared/views/about.html] section within _admin-ui_.     It would be ideal to have the version # dynamically replaced for every release.";1
XD-2382;As a developer I'd like to setup a performance testing infrastructure (rackspace) so I can start benching Kafka baselines and continue with XD use-cases.;5
XD-2383;As a user I'd like to have a Shell command so that I can point to the custom-built _module_ archive and push it to the runtime for immediate usage.;3
XD-2384;As a user I'd like to refer to documentation so that I can build the custom module based on recommended standards and patterns.;3
XD-2388;As a user I'd like to have the custom module (built as uber-jar) hosted in HDFS so that I can deploy the module to newly arriving containers.;5
XD-2398;As a user I should be able to leverage native _WebSocket_ sink so that I can take the advantage of full-duplex communications channels over a single TCP connection.;5
XD-2401;As a developer I'd like to include the following improvements as part of the EC2 CI infrastructure so that we can reliably run the CI builds and also assert over feature functionalities.    *Scope:*  * Enable 'distributed jvm test'  * Change from using artifactory gradle task to a command task (that calls ./gradlew)  * Test w/ embedded hadoop off  * Turn on maxParallelForks;4
XD-2402;As a developer I'd like to investigate the increase in WARN logs so that I can troubleshoot and fix PMD/Sonar violations.  Consider notifying the violations through SONAR configurations. The committer should be notified.;3
XD-2403;As a build manager I'd like to setup CI infrastructure so that I can run integration tests in Windows OS automatically as we commit-trigger new builds.     *Scope:*  * Use the environment where Bamboo is running  * Gain access to powershell   * Setup services (redis rabbit etc.)  * Kick-off CI task;4
XD-2420;As a user I'd like to have a common shared location so that I can place the dependent jar's that are required by 2 or more custom modules.   *Current Recommendation:* * Place the dependent jar under xd/lib folder * if it necessary to support different versions of jar's then bundle it in custom module to get around the _classloader_ problem if a older/newer version exist in xd/lib;4
XD-2434;As a QA I'd like to include acceptance test coverage for _Mail_ source module so that I can validate the functionality as part of every CI build.;3
XD-2435;As a QA I'd like to include acceptance test coverage for _reactor-ip_ source module so that I can validate the functionality as part of every CI build.;3
XD-2436;As a QA I'd like to include acceptance test coverage for _reactor-syslog_ source module so that I can validate the functionality as part of every CI build.;3
XD-2437;As a QA I'd like to include acceptance test coverage for _SFTP_ source module so that I can validate the functionality as part of every CI build.;3
XD-2438;As a QA I'd like to include acceptance test coverage for _aggregator_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2439;As a QA I'd like to include acceptance test coverage for _analytic-pmml_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2440;As a QA I'd like to include acceptance test coverage for _bridge_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2441;As a QA I'd like to include acceptance test coverage for _http-client_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2442;As a QA I'd like to include acceptance test coverage for _json-tuple_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2443;As a QA I'd like to include acceptance test coverage for both _script_ and _scripts_ processor modules so that I can validate the functionality as part of every CI build.;3
XD-2444;As a QA I'd like to include acceptance test coverage for _splitter_ processor module so that I can validate the functionality as part of every CI build.;3
XD-2445;As a QA I'd like to include acceptance test coverage for _gauge_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2446;As a QA I'd like to include acceptance test coverage for _aggregate-counter_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2447;As a QA I'd like to include acceptance test coverage for _field-value-counter_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2448;As a QA I'd like to include acceptance test coverage for _hdfs-dataset_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2449;As a QA I'd like to include acceptance test coverage for _mail_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2450;As a QA I'd like to include acceptance test coverage for _null_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2451;As a QA I'd like to include acceptance test coverage for _rich_gauge_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2452;As a QA I'd like to include acceptance test coverage for _router_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2453;As a QA I'd like to include acceptance test coverage for _shell_ sink module so that I can validate the functionality as part of every CI build.;4
XD-2454;As a QA I'd like to include acceptance test coverage for _splunk_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2455;As a QA I'd like to include acceptance test coverage for _throughput-sampler_ sink module so that I can validate the functionality as part of every CI build.;3
XD-2456;As a QA I'd like to include acceptance test coverage for _spark-app_ batch job so that I can validate the functionality as part of every CI build.;4
XD-2457;As a QA I'd like to include acceptance test coverage for _timestampfile_ batch job so that I can validate the functionality as part of every CI build.;3
XD-2462;As a QA I'd like to include acceptance test coverage for _Kafka_ as a message bus so that I can validate the functionality as part of every CI build.;4
XD-2471;"As a user I'd like to have concurrency and compression support for Kafka so that I can increase performance throughput and/or increase responsiveness    *Things to consider:*  * make global configuration options be ""defaults"" and allow per-deployment overrides  * add options for   ** concurrency  ** compression support";3
XD-2473;As a user I'd like to have the option to _ACK_ messages so that I can guarantee that the message/request sent is successful.;3
XD-2474;"As a user I'd like to have the option to implement _bindRequestor_ and _bindReplier_ so that I can ""bind a producer that expects async replies"" and ""bind a consumer that handles requests from a requestor and asynchronously sends replies"" respectively.";3
XD-2475;As a user I'd like to have the option to setup _batching_ so that I can ingest data in batches as opposed to payload-at-a-time.;5
XD-2477;As a user I'd like to have the option to _stop_ an existing Sqoop job so that I can clean-up resources at the time of completion.;5
XD-2478;As a user I'd like to access Sqoop logs so that I can troubleshoot or evaluate the errors or current state respectively.   We will have to identify how to capture the Sqoop logs and stream them to our logging mechanism.;4
XD-2479;As a user I'd like to incremental-data-load so that I can retrieve only rows newer than some previously-imported.;4
XD-2480;As a QA I'd like to benchmark _Sqoop_ vs. _jdbchdfs_ batch job so that I can compare and contrast performance stats.;4
XD-2483;As a user I would like to be able disable snappy compression when using hdfs-dataset sink with Avro files. I'd also like to be able to provide a different codec.;1
XD-2498;"As a user I'd like to use the _Mail_ sink to connect to secured IMAP and/or SMTP mail servers. Currently the sink doesn't support TLS.    _Mail_ sink config file requires a <util:properties/> bean (with ssl/tls properties) provided to the adapter via the java-mail-properties attribute. [Ref. Example|http://docs.spring.io/spring-integration/docs/latest-ga/reference/html/mail.html].    {code:xml}  <util:properties id=""javaMailProperties"">    <prop key=""mail.imap.socketFactory.class"">javax.net.ssl.SSLSocketFactory</prop>    <prop key=""mail.imap.socketFactory.fallback"">false</prop>    <prop key=""mail.store.protocol"">imaps</prop>    <prop key=""mail.debug"">false</prop>  </util:properties>  {code}    [List of all java-mail properties|https://javamail.java.net/nonav/docs/api/com/sun/mail/smtp/package-summary.html]";1
XD-2499;As a user I'd like to use _partitionResultsTimeout_ attribute for jobs that inherit singlestep-partitioning strategy but it is not exposed as a metadata attribute in the wiki.     *Note:*  The property should be available for all the jobs that import 3 OOTB jobs have it imported (ref. attachment);1
XD-2501;As a XD Admin I'd like to upgrade to Spring Boot 1.2.0 RELEASE and the associated dependencies so that we can catch up with the latest features bug-fixes and enhancements.     *Following XD dependencies needs upgraded to sync-up with Boot 1.2.0 RELEASE:*    <activemq.version>5.10.0</activemq.version>  <aspectj.version>1.8.4</aspectj.version>  <commons-dbcp2.version>2.0.1</commons-dbcp2.version>  <h2.version>1.4.182</h2.version>  <hibernate.version>dd4.3.7.Final</hibernate.version>  <hibernate-validator.version>5.1.3.Final</hibernate-validator.version>  <hikaricp.version>2.2.5</hikaricp.version>  <hornetq.version>2.4.5.Final</hornetq.version>  <httpasyncclient.version>4.0.2</httpasyncclient.version>  <httpclient.version>4.3.6</httpclient.version>  <jackson.version>2.4.4</jackson.version>  <janino.version>2.6.1</janino.version>  <jetty.version>9.2.4.v20141103</jetty.version>  <jetty-jsp.version>2.2.0.v201112011158</jetty-jsp.version>  <joda-time.version>2.5</joda-time.version>  <jolokia.version>1.2.3</jolokia.version>  <junit.version>4.12</junit.version>  <liquibase.version>3.3.0</liquibase.version>  <log4j.version>1.2.17</log4j.version>  <log4j2.version>2.1</log4j2.version>  <mockito.version>1.10.8</mockito.version>  <mongodb.version>2.12.4</mongodb.version>  <mysql.version>5.1.34</mysql.version>  <reactor.version>1.1.5.RELEASE</reactor.version>  <reactor-spring.version>1.1.3.RELEASE</reactor-spring.version>  <servlet-api.version>3.1.0</servlet-api.version>  <spring.version>4.1.3.RELEASE</spring.version>  <spring-batch.version>3.0.2.RELEASE</spring-batch.version>  <spring-data-releasetrain.version>Evans-SR1</spring-data-releasetrain.version>  <spring-hateoas.version>0.16.0.RELEASE</spring-hateoas.version>  <spring-mobile.version>1.1.3.RELEASE</spring-mobile.version>  <spring-security.version>3.2.5.RELEASE</spring-security.version>  <tomcat.version>8.0.15</tomcat.version>  <undertow.version>1.1.1.Final</undertow.version>;4
XD-2511;As a user I'd like to have a separate _YML_ file to list the deployment manifest properties so that I don't have to include as part of the stream definition.;5
XD-2513;As a user I'd like to have the option to _compress_ messages so that I can influence the performance throughput. It'd be beneficial to have support for gzip zip compression and decompression.;3
XD-2514;As a user I'd like to have the option of _compression_ for both Rabbit _source_ and _sink_ modules so that can further enhance the performance characteristics.;5
XD-2515;As a user I'd like to have the option of _batching_ for the Rabbit _sink_ so that I can write data in batches as opposed to one-at-a-time.;4
XD-2523;As a user I'd like to have a gradle build option so that I can support module projects that will declare the Spring XD dependencies as provided configure the boot plugin for 'MODULE' layout and other boilerplate build configuration.    This is dependent on Boot's module layout scoping issue: https://github.com/spring-projects/spring-boot/issues/2187;3
XD-2526;As a QA I'd like to include acceptance test coverage for hdfs-dataset module so that I can validate the functionality as part of every CI build.;3
XD-2527;As a user I'd like to have the option to extend compression support so that I can override the defaults and customize as needed.  Follow-up from this PR: https://github.com/spring-projects/spring-xd/pull/1346;3
XD-2531;As a user I'd like to refer to the documentation so that I can connect to Sqoop as recommended and create job definition based on the exposed _metadata_ options.;1
XD-2534;As a performance tester I'd like to rerun baseline benchmarks with batching enabled on Rabbit so that I can compare the results with previous performance snapshots.   Note: - batchingEnabled = true - batchingSize = 100 (default)  We could also vary default size to compute and record at granular level.;3
XD-2535;As a performance tester I'd like to re-run baseline benchmarks with compression enabled on Rabbit so that I can compare the results with previous performance snapshots.;3
XD-2538;As a user I'd like to have an option to disable DB requirement so that I can setup to use DIRT runtime when stream processing is the only requirement.;5
XD-2541;As a user I'd like to implement the core interface contract so that I can create a processor module that uses RxJava API.;1
XD-2542;As a user I'd like to have a flexible RxJava module so that it can as a processor.;5
XD-2543;As a user I'd like to have the option to define access control list (ACLs) so that I can define access controls to the resource by 'each user' and what the privileges are for that 'resource'.    *Spike Scope:*  ** Review customer use cases and come up with design specs  ** Identify the best approach that fits XD runtime  ** Identify scope for DSL and UI   ** Document next steps and phases;5
XD-2548;As a performance tester I'd like to investigate why there's high CPU startup time for both admin and container servers. Perhaps profiling would assist isolating the bottlenecks.     *Scope:*  * Identify the bottlenecks  * Document reasons  * List pros/cons;5
XD-2550;As a user I'd like to have the option to store the custom module uber-jar in HDFS so that I can rely on the HA feature to reliably read and reinstall under failure scenarios.;3
XD-2551;As a user I'd like to have the option to store the custom module uber-jar in HDFS so that I can rely on the HA feature to reliably read and reinstall under failure scenarios.;3
XD-2552;As a CF user I'd like to have the ability to override the HDFS location so that I can change where the custom module _uber-jar_ can be stored and retrieved.;3
