issuekey;doc_clean;adj_storypoint
XD-2961;As a developer I'd like to rerun _baseline_ _Tuple_ and _Serialized_ payloads so I can compare the differences in performance between 0.8.1 and 0.8.2 Kafka releases.     Note:  1.1.1 > Benched against 0.8.1   1.2 > Benched against 0.8.2;8
XD-2962;As a developer I'd like to document performance benchmark results along with the infrastructure specifics so I can publish the blog for customers/users to use it as a reference while setting up Spring XD cluster.;8
XD-2964;As a developer I'd like to study the state management requirements so I can brainstorm and identify the design to natively add _stateful_ stream processing support in XD.;8
XD-2965;As a developer I'd like to integrate with Spring Data repository that's backed by Kafka _changelog_ so I can leverage the benefits of local data affinity (off-heap) in order to run stateful stream processing logic.;8
XD-2966;As a developer I'd like to add support to _flush_ offsets intelligently so I can reliably process streams based on successful message acknowledgements from the module-producer.;8
XD-2967;As a developer I'd like to add support to _flush_ state intelligently so I can reliably process streams based on successful message acknowledgements from the module-producer.;8
XD-2979;As a user I'd like to use the Java receptor client so I can interact with Diego runtime using the Java receptor REST APIs.;8
XD-2980;As a user I'd like to use Boot-based {{ModuleRunner}} for use in container-managed environments so I can run XD without _xd-containers_.    Scope:  * Complete the remaining deployment properties work;8
XD-2986;As a follow up to XD-2877 experiment with the removal of the list of modules from BaseDefinition and reparse as needed.    Branch is here: https://github.com/pperalta/spring-xd/tree/deploy-refactor-2;8
XD-2993;As a Flo developer I'd like to have a new DSL parser so I can easily  detect incorrect module/option values when supplied from the Flo UI.    Example:  MyStream = mail | log  tap:stream:MyStream.bar > log    If parsed separately (which Flo UI does) the current parser endpoint will barf on the second stream because it doesn’t know about the first stream (MyStream).;8
XD-3044;As a user I'd like to have an OOTB _jdbcgpfdist_ batch job so I can read from JDBC and write to HAWQ/GPDB using _gpfdist_ protocol.   The scope is to reuse the existing gpfdist sink code and adapt it to fit the batch model (_gpfdist_ writer).;8
XD-3045;As a developer I'd like to separate mocks vs. real repository coupling from the test infrastructure so it is easy to test against thin layer of dependencies.;8
XD-3071;As a developer I'd like to bench Rabbit on rackspace infrastructure so I can have a sense on how it scales as we add more _xd-container_ nodes.;8
XD-3099;As a user I'd like to have the option to gracefully shutdown the stream so when it is _undeployed_ while in the middle of its operation we would want to complete its journey to the sink before XD stops the stream.    *Use case:*  One of the streams has a custom module that performs archive extraction. When this stream is ‘undeployed’ while in the middle of extraction It looks like the message goes to the DLQ. However we would like the message to complete its journey to the sink of the queue before xd stops the stream. Is this possible?;8
XD-3102;As a developer I'd like to rerun _baseline_ _Tuple_ and _Serialized_ payloads so I can compare the differences in performance between 0.8.1 and 0.8.2 Kafka releases.     Sinks to be included in test:  In-Memory Transport > Hdfs sink  Direct Binding Transport > Hdfs Sink  Kafka > Hdfs Sink;8
XD-3166;As a developer I'd like to publish performance benchmarks along with the infrastructure specifics so the users can use it as a reference while setting up Spring XD cluster.;8
XD-3169;As a developer I'd like a job module to be bootstrapped when the job is launched and shut down once it is complete instead of the current behavior of bootstrapping the context when the module is deployed regardless of if it's being used so that I can achieve better resource utilization.;8
XD-3192;As a user I'd like to have the module/app specific metrics consumed directly from Boot actuator [export()|https://github.com/spring-projects/spring-boot/blob/master/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/MetricRepositoryAutoConfiguration.java] API so I can have insight on how it is performing being used and that it works etc.;8
XD-3193;As a developer I'd like to handle module options via pure boot property source management so I can leverage Boot's module [METADATA|http://docs.spring.io/spring-boot/docs/current-SNAPSHOT/reference/htmlsingle/#configuration-metadata] option to inject module options as opposed to maintaining them in core Spring XD runtime CP.;8
XD-3194;As a developer I'd like to have a central place to manage external properties for applications across all the environments so I can provide server and client-side support for externalized configuration for XD-Admin and XD-Container servers.;8
XD-3195;As a developer I'd like to troubleshoot the performance issues with Rabbit as message bus implementation so I can isolate the bottleneck and fix as appropriate.;8
XD-3196;As a developer I'd like to migrate the current MASTER branch CI builds to EC2 instances so I can manage them all in one-place reliably.;8
XD-3198;As a developer I'd like to use spring-cloud-config server for spring-bus modules so I can centrally manage external properties.;8
XD-3199;"As a developer I'd like to split up spring-xd dependencies to more fine-grained so I can get the ones ""below the line"" down to spring-bus-* instead of spring-xd-* bundle.";8
XD-3202;As a developer I'd like to investigate channel performance issues in SI 4.2 so I can determine the bottlenecks and take corrective actions to improve overall channel performance.;8
XD-3224;As a developer I'd like to move message-bus from Spring XD repo into spring-bus so I can update Spring XD to inherit the features/functionalities via maven dependency.;8
XD-3225;As a developer I'd like to move 'input/output type conversion' from Spring XD repo into spring-bus so I can update Spring XD to inherit the features/functionalities via maven dependency.;8
XD-3226;As a developer I'd like to move 'serialization codec' from Spring XD repo into spring-bus so I can update Spring XD to inherit the features/functionalities via maven dependency.;8
XD-3227;As a developer I'd like to develop a “singlenode�? (in a single JVM) implementation of XD Admin SPI (based on Module Launcher) so I can run data pipeline use-cases locally.;8
XD-3228;As a Spring XD user I'd like to use Diego based Receptor implementation of XD Admin SPI (based on ModuleLauncher) so I can run data pipeline use-cases running on CF Lattice/Diego.;8
XD-3229;As a s-c-s user I'd like to investigate the possibility of s-c-s modules self-registering themselves to service discovery so I could use Spring XD runtime (running on CF) to discover and orchestrate such modules through streams.;8
XD-3233;As a developer I'd like to create an annotation ({{@EnableModule}}) driven programming model for modules so instead of explicitly defining I/O channels as beans on the module for classes annotated with {{@EnableModule}} the application would be responsible for creating the actual channel beans and channel adapters vs. the developer creating concrete channel instance types.    The {{@Input}} and {{@Output}} annotations will be used to indicate the input and output channels of the module.;8
XD-3256;As a developer I'd like to brainstorm and investigate various techniques around installation of XD modules from a maven repo so I could define the module {{artifactId}} from CLI to have the module downloaded from the repo and installed to a running Spring XD runtime.;8
XD-3265;As a Spring XD user I'd like to use {{CloudController}} based implementation of XD Admin SPI (based on ModuleLauncher) so I can run data pipeline use-cases running on CF.    Relevant repos: [spring-cloud-data|https://github.com/spring-cloud/spring-cloud-data/tree/master/spring-cloud-data-module-deployers] | [spring-cloud-stream|https://github.com/spring-cloud/spring-cloud-stream]    Please refer to XD-3194 or XD-3229 as sample spike-deliverables (_google doc_) that were completed in the last sprint.;8
XD-3268;As a Spring XD on CF user I'd like to use {{cloudController}} implementation of Admin SPI every time I deploy Spring XD modules so I can leverage the SPI to query for module status and health metrics.  *Possible APIs:* {code}  ModuleStatus getStatus(ModuleDescriptor descriptor)  Collection<ModuleDescriptor> listModules()  Map<ModuleDescriptor.Key ModuleStatus>  {code};8
XD-3290;As a Spring XD user I'd like to have [IPython Notebook|http://ipython.org/notebook.html] integration so I can perform interactive data computations in real-time.;8
XD-3292;As a Azure user I'd like to read/write data from Azure Event Hubs. so I can leverage the pub-sub service to process and analyze large volumes of data.;8
XD-3293;As a Spring XD user I'd like to have IPython Notebook integration so I can perform interactive data computations in real-time.;8
XD-3309;As a s-c-s user I'd like to have the option to direct bind _modules_ so I don't have to use messaging middleware and I can eliminate latency between them. This is important for high throughput and low latency use cases.;8
XD-3314;As a s-c-d developer I'd like to invoke REST APIs via shell so I can validate {{StreamController}} operations.;8
XD-3317;As a s-c-s developer I'd like to investigate the right approach to include external library as dependency (ex: MySQL) so I can decide better handling of libraries which needs loaded and available in root CP at the runtime.;8
XD-3344;As a s-c-d developer I'd like to implement _undeploy_ operation for {{singlenode}} (single JVM) so I can use this target to undeploy a running stream. More details in [this PR|https://github.com/spring-cloud/spring-cloud-data/pull/19].    *Note:* Its a prerequisite to determine consistent _undeploy_ strategy for both {{jobs}} and {{streams}}.;8
XD-3355;As a s-c-d developer I'd like to collaborate with Boot engineering team and derive a strategy for module metadata via {{@ConfigurationProperties}} so I can implement the functionality to support {{shell}} {{autocompletion}} {{flo}} and {{ascii}} documentation in _spring-cloud-data_.     Eric's [gap analysis|https://docs.google.com/document/d/1A-9RpgSNL6SXD61q9eW2YRkrkn3tXk09rdkx7eCKlxY/edit#] document captures all the specifics in detail.;8
XD-3378;As a Spring XD user I'd like to use the latest releases of {{HDP}}/{{PHD}} distros so I can leverage the latest features to create pipelines involving {{HDFS}}.;8
XD-3389;As a Spring XD user I'd like to use redis/sentinel cluster as the 'message bus' so I could create streams and batch pipelines.;8
XD-3419;As a s-c-d developer I'd like to create {{ModuleRegistry}} implementation so I can use this infrastructure to lookup module coordinates by name.;8
XD-3425;As a s-c-d developer I'd like to have {{module info}} {{module list}} {{module register}} and {{module unregister}} commands so I can interact with {{ModuleRegistry}}.;8
XD-3430;As a s-c-d developer I'd like to provide optional key-value pairs as deployment properties so I could leverage them at the runtime to instruct how the modules will be deployed.   _The scope of this story is to specifically support {{count}} to represent {{N}} instances of modules that share the same environment variables._;8
XD-3447;As a s-c-d developer I'd like to produce ref. documentation for s-c-d architecture so I could define 1.x and 2.x deployment differences.;8
XD-3486;As a s-c-d developer I'd like to add support for having different binder types for module's channels so I can plug {{rabbit}} {{redis}} or {{kafka}} as the source or sink to read and write respectively.;8
XD-3488;As a s-c-d developer I'd like to refactor CC SPI deployer with CF java-client so I can improve the overall design and performance.;8
XD-3512;As a s-c-s user I'd like to have {{Gemfire}} message-channel binder so I can use {{Gemfire}} as the messaging middleware for low latency use-cases.;8
XD-3513;As a s-c-d user I'd like to have the option of {{Gemfire}} SPI so I can use {{Gemfire}} and the infrastructure to orchestrate s-c-d data microservices.;8
XD-3514;As a s-c-d user I'd like to have the option of {{Gemfire}} as stream repository so I can build data pipelines that are entirely orchestrated within {{Gemfire}}.;8
XD-3515;As a s-c-d user I'd like to have the option of {{Gemfire}} as module registry so I can build data pipelines that are entirely orchestrated within {{Gemfire}}.;8
XD-3624;As a s-c-d developer I'd like to break the build lifecycle to bundle SPI deployers individually so I don't have to build {{admin}} with all the deployer variations as one whole thing.;8
XD-3635;As a developer I'd like to resolve remaining gaps wrt CI pipelines for Data Flow and the family so I can continuously evaluate functionalities on every commit.;8
XD-3649;As a user I'd like to use SpEL expressions inline at the stream definition level so I can operate on the payload consistently while using any OOTB including the custom modules.;8
XD-923;As a user I'd like to be notified when a exception is thrown in a module so that I can tap into an error channel to receive the failures for each stream/module.;8
XD-1864;"As a user I'd like to have _paging_ support so that I can scroll through the list of streams jobs and containers.     Currently the following error is thrown when we cross >20 rows:    http://localhost:9393/jobs/definitions.json    JSON Response:  {code:xml}  [  	{  		links: [ ]  		logref: ""IllegalStateException""  		message: ""Not all instances were looked at""  	}  ]  {code}    Stack trace:  {code}  15:51:21931 ERROR http-nio-9393-exec-9 rest.RestControllerAdvice - Caught exception while handling a request  java.lang.IllegalStateException: Not all instances were looked at    org.springframework.util.Assert.state(Assert.java:385)  {code}";5
XD-2120;As a user I'd like to have the option to provide file based security configurations so that I can access the endpoints in a secured manner.    Ideally all the listed *endpoints* (http://localhost:9393/) needs to be encapsulated within file based security layer.    Reference:  [Securing Web App|https://spring.io/guides/gs/securing-web/];5
XD-2124;As a user I'd like to have the ability to mass-ingest data from various database systems so that I'm not restricted with the current approach (_jdbchdfs_) that is dependent on JDBC drivers.     *Spike Scope:*  * Identify integration options  * Collaborate to determine the design  * Document outcome (design specs);5
XD-2129;As a user I'd like to have an option of _AWS_ source module so that I can ingest data from Amazon S3 or use the Simple Email Service (SES).  *Reference:* [Spring Integration AWS Extension|https://github.com/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws];5
XD-2131;As a user I'd like to have the option of _AWS_ sink so that I can write data into S3 directly.   *Reference:* [Spring Integration AWS Extension|https://github.com/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws];5
XD-2133;As a user I'd like to have the option of _SOLR_ sink so that I can perform full-text indexing and search through SOLR backend server.;5
XD-2136;"As a user I should not be allowed to create a custom module with a _reserved_ keywords so that I it will avoid confusions from seeing duplicate strings in deployment manifest.  *Example:* We would like to avoid a _custom_ module name of *producer* to eliminate the confusion below: {code}  xd:>stream deploy --name test1 --properties ""module.producer.producer.deliveryMode= PERSISTENTmodule.log.criteria=groups.contains('group1')""  {code}  [List of available reserved keywords|https://github.com/spring-projects/spring-xd/wiki/Deployment#deployment-properties]";5
XD-2137;"As a user I'd like to retain the data partitioning state so that when I restart the containers I continue to write based on the original partitioning strategy.   Currently the state is not preserved hence on restarts the definition of partitioning strategy is lost due to different _hashCode()_.  *Design consideration:* Mine through the container info to derive the ""partition index"" instead of relying on _hashCode()_.";5
XD-2145;As a user I want to be able to provide security credentials to the XD Shell so that I can interact with an xd admin server that is secured via basic auth    Technical implementation:    Add ---password and --username to the admin config command.;5
XD-2158;As a user I need a 'sandbox' Docker Image so that I can get started to experiment XD deployment with the following setup:    * Ubuntu OS  * Full XD Jar  * Java 7.x  * Redis  * RabbitMQ;5
XD-2207;As a user I would like to have an option to write data into _Hive_ sink so that I can query and manage large datasets in distributed storage.;5
XD-2226;As a user I'd like to have the flexibility to change the namespace so that I can isolate ZK _metadata_ based on each _tenant_ profile.;5
XD-2228;As a user I'd like to type the _username_ and _password_ to gain access to Admin server so that I don't have to add it in some file hence I don't have to worry about having the password getting logged somewhere.;5
